no,名前,提出,Q1[1],Q1[2],Q1[3],Q1[4],Q2[1],Q2[2],Q2[3],Q2[4]
1,2211101,未提出,0,0,0,0,0,0,0,0
2,2211102,041114:15:6,2,0,0,0,2,2,2,2
3,2211103,041114:14:57,2,1,2,2,0,0,0,0
4,2211104,041114:24:49,2,2,2,0,2,2,2,2
5,2211105,041114:14:58,2,1,2,2,2,2,2,2
6,2211106,041114:12:34,2,2,2,2,2,2,2,2
7,2211107,041114:15:24,2,2,2,2,2,2,2,2
8,2211108,041114:15:35,0,0,0,0,2,2,2,2
9,2211109,041114:14:57,0,2,0,0,2,2,2,0
10,2211110,041114:15:4,0,0,2,2,2,0,2,0
11,2211111,041114:27:41,2,2,2,0,2,2,2,2
12,2211112,041114:24:49,2,2,2,2,2,2,2,2
13,2211113,未提出,0,0,0,0,0,0,0,0
14,2211114,未提出,0,0,0,0,0,0,0,0
15,2211115,未提出,0,0,0,0,0,0,0,0
16,2211116,未提出,0,0,0,0,0,0,0,0
