,,,Q01,,Q02,,Q03,,Q04,,Q05,,Q06,,,Q07,,,,Q08,,Q09,,Q10,,,Q11,,Q12,,
,,,[1],[2],[1],[2],[1],[2],[1],[2],[1],[2],[1],[2],[3],[1],[2],[3],[4],[1],[2],[1],[2],[1],[2],[3],[1],[2],[1],[2],
1,01KA,613,0,4,4,4,0,0,4,0,2,2,2,0,0,2,2,0,2,4,0,4,0,2,4,0,4,0,4,0,50
2,02NI,613,4,4,4,4,0,0,4,4,4,4,2,0,0,2,2,0,2,4,0,4,0,0,0,4,4,0,0,0,56
3,03VL,613,4,4,4,4,4,0,4,4,4,0,2,0,0,2,2,2,2,4,0,4,4,0,4,4,4,0,4,4,74
4,04TO,613,4,4,4,4,4,0,4,0,2,2,0,0,0,2,2,2,0,4,0,4,0,2,4,4,4,0,4,0,60
5,05RO,613,4,0,4,4,4,0,4,0,4,4,2,0,0,2,2,2,2,4,4,4,4,2,4,0,4,0,4,0,68
6,06AK,613,4,4,4,4,4,4,4,4,4,4,2,4,4,2,2,2,2,4,4,4,4,2,4,4,4,4,4,4,100
7,07YK,613,4,4,4,0,0,4,4,4,4,4,2,0,0,2,2,2,2,4,0,4,4,2,4,4,4,0,4,0,72
8,08MT,613,4,4,4,0,0,4,4,4,2,4,2,4,2,2,2,2,0,4,4,4,4,2,4,4,4,0,4,0,78
9,09HN,613,0,0,0,0,0,0,0,0,0,4,2,0,0,2,2,0,2,4,0,4,4,0,4,0,0,0,0,0,28
10,10HH,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11KH,613,4,4,4,4,0,0,4,0,0,0,0,4,4,2,2,2,2,4,4,4,4,2,4,4,4,4,4,0,74
12,12YM,613,0,4,4,4,4,0,4,4,4,4,2,0,0,2,2,2,2,4,4,4,4,0,4,4,4,0,4,4,78
13,13TY,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14KK,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.8
15,15YK,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16YT,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
