,,,Q01,,Q02,,Q03,,Q04,,Q05,,Q06,,,Q07,,,,Q08,,Q09,,Q10,,,Q11,,Q12,,,,,,,,,,,,,
,,,[1],[2],[1],[2],[1],[2],[1],[2],[1],[2],[1],[2],[3],[1],[2],[3],[4],[1],[2],[1],[2],[1],[2],[3],[1],[2],[1],[2],試験,411,418,425,509,516,523,530,606,平常,評価,確定
1,01KA,613,0,4,4,4,0,0,4,0,2,2,2,0,0,2,2,0,2,4,0,4,0,2,4,0,4,0,4,0,50,5,10,3,3,10,10,10,10,76,63,63
2,02NI,613,4,4,4,4,0,0,4,4,4,4,2,0,0,2,2,0,2,4,0,4,0,0,0,4,4,0,0,0,56,10,9,10,10,9,9,10,10,96,76,76
3,03VL,613,4,4,4,4,4,0,4,4,4,0,2,0,0,2,2,2,2,4,0,4,4,0,4,4,4,0,4,4,74,10,10,10,10,10,7,3,7,84,79,80
4,04TO,613,4,4,4,4,4,0,4,0,2,2,0,0,0,2,2,2,0,4,0,4,0,2,4,4,4,0,4,0,60,10,10,7,10,9,10,10,10,95,78,78
5,05RO,613,4,0,4,4,4,0,4,0,4,4,2,0,0,2,2,2,2,4,4,4,4,2,4,0,4,0,4,0,68,10,10,7,7,10,9,9,9,89,78,78
6,06AK,613,4,4,4,4,4,4,4,4,4,4,2,4,4,2,2,2,2,4,4,4,4,2,4,4,4,4,4,4,100,10,10,9,10,10,10,10,10,99,99,99
7,07YK,613,4,4,4,0,0,4,4,4,4,4,2,0,0,2,2,2,2,4,0,4,4,2,4,4,4,0,4,0,72,10,10,10,10,10,10,10,10,100,86,86
8,08MT,613,4,4,4,0,0,4,4,4,2,4,2,4,2,2,2,2,0,4,4,4,4,2,4,4,4,0,4,0,78,10,10,9,10,10,10,10,10,99,88,88
9,09HN,613,0,0,0,0,0,0,0,0,0,4,2,0,0,2,2,0,2,4,0,4,4,0,4,0,0,0,0,0,28,10,9,9,10,10,10,10,7,94,61,61
10,10HH,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,9,10,10,5,5,3,73,36,60
11,11KH,613,4,4,4,4,0,0,4,0,0,0,0,4,4,2,2,2,2,4,4,4,4,2,4,4,4,4,4,0,74,10,10,9,9,10,10,10,10,98,86,86
12,12YM,613,0,4,4,4,4,0,4,4,4,4,2,0,0,2,2,2,2,4,4,4,4,0,4,4,4,0,4,4,78,10,10,10,10,10,7,10,7,93,85,85
13,13TY,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,3,5,5,5,7,3,55,28,60
14,14KK,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.8,,,,,,,,,88.4,,76.9
15,15YK,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16YT,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
